"kode_produk","tgl_berlaku","kode_cabang","harga_berlaku_cabang","modal_cabang","biaya_cabang"
PROD-0000026,"2008-05-19 00:00:00",CABANG-039,910,870,20
PROD-0000027,"2008-05-19 00:00:00",CABANG-039,12370,11740,90
PROD-0000028,"2008-05-19 00:00:00",CABANG-039,55790,52450,590
PROD-0000029,"2008-05-19 00:00:00",CABANG-039,6160,5850,70
PROD-0000030,"2008-05-19 00:00:00",CABANG-039,4100,3930,40
PROD-0000031,"2008-05-19 00:00:00",CABANG-039,18300,17380,320
PROD-0000032,"2008-05-19 00:00:00",CABANG-039,5090,4870,90
PROD-0000033,"2008-05-19 00:00:00",CABANG-039,15700,15060,210
PROD-0000034,"2008-05-19 00:00:00",CABANG-039,20480,19340,10
PROD-0000035,"2008-05-19 00:00:00",CABANG-039,6090,5740,40
PROD-0000036,"2008-05-19 00:00:00",CABANG-039,31200,29900,190
PROD-0000037,"2008-05-19 00:00:00",CABANG-039,5040,4830,120
PROD-0000038,"2008-05-19 00:00:00",CABANG-039,6120,5830,20
PROD-0000039,"2008-05-19 00:00:00",CABANG-039,5490,5210,120
PROD-0000040,"2008-05-19 00:00:00",CABANG-039,15040,14180,150
PROD-0000041,"2008-05-19 00:00:00",CABANG-039,13460,12800,300
PROD-0000001,"2008-05-20 00:00:00",CABANG-039,11290,10760,190
PROD-0000002,"2008-05-20 00:00:00",CABANG-039,4320,4090,0
PROD-0000003,"2008-05-20 00:00:00",CABANG-039,6300,6000,140
PROD-0000004,"2008-05-20 00:00:00",CABANG-039,8190,7750,150
PROD-0000005,"2008-05-20 00:00:00",CABANG-039,7220,6860,120
PROD-0000006,"2008-05-20 00:00:00",CABANG-039,8260,7890,20
PROD-0000007,"2008-05-20 00:00:00",CABANG-039,4620,4380,40
PROD-0000008,"2008-05-20 00:00:00",CABANG-039,1090,1040,0
PROD-0000009,"2008-05-20 00:00:00",CABANG-039,4820,4600,60
PROD-0000010,"2008-05-20 00:00:00",CABANG-039,1100,1050,0
PROD-0000011,"2008-05-20 00:00:00",CABANG-039,1220,1160,10
PROD-0000012,"2008-05-20 00:00:00",CABANG-039,3580,3400,60
PROD-0000013,"2008-05-20 00:00:00",CABANG-039,12780,12050,170
PROD-0000014,"2008-05-20 00:00:00",CABANG-039,11780,11290,60
PROD-0000015,"2008-05-20 00:00:00",CABANG-039,19650,18470,390
PROD-0000016,"2008-05-20 00:00:00",CABANG-039,99390,94420,1040
PROD-0000017,"2008-05-20 00:00:00",CABANG-039,1260,1190,20
PROD-0000018,"2008-05-20 00:00:00",CABANG-039,8970,8520,30
PROD-0000019,"2008-05-20 00:00:00",CABANG-039,6120,5850,100
PROD-0000020,"2008-05-20 00:00:00",CABANG-039,5370,5140,120
PROD-0000021,"2008-05-20 00:00:00",CABANG-039,12060,11450,70
PROD-0000022,"2008-05-20 00:00:00",CABANG-039,71680,67710,250
PROD-0000023,"2008-05-20 00:00:00",CABANG-039,14400,13650,10
PROD-0000024,"2008-05-20 00:00:00",CABANG-039,15150,14420,140
PROD-0000025,"2008-05-20 00:00:00",CABANG-039,10300,9790,90
PROD-0000026,"2008-05-20 00:00:00",CABANG-039,890,860,20
PROD-0000027,"2008-05-20 00:00:00",CABANG-039,12380,11770,200
PROD-0000028,"2008-05-20 00:00:00",CABANG-039,56350,53530,900
PROD-0000029,"2008-05-20 00:00:00",CABANG-039,6260,5920,120
PROD-0000030,"2008-05-20 00:00:00",CABANG-039,4100,3890,40
PROD-0000031,"2008-05-20 00:00:00",CABANG-039,18520,17600,10
PROD-0000032,"2008-05-20 00:00:00",CABANG-039,5050,4760,60
PROD-0000033,"2008-05-20 00:00:00",CABANG-039,15640,14860,40
PROD-0000034,"2008-05-20 00:00:00",CABANG-039,20120,18950,450
PROD-0000035,"2008-05-20 00:00:00",CABANG-039,6130,5820,20
PROD-0000036,"2008-05-20 00:00:00",CABANG-039,30460,28930,120
PROD-0000037,"2008-05-20 00:00:00",CABANG-039,5050,4810,20
PROD-0000038,"2008-05-20 00:00:00",CABANG-039,6070,5740,80
PROD-0000039,"2008-05-20 00:00:00",CABANG-039,5560,5290,10
PROD-0000040,"2008-05-20 00:00:00",CABANG-039,15220,14390,320
PROD-0000041,"2008-05-20 00:00:00",CABANG-039,13560,12890,90
PROD-0000001,"2008-05-21 00:00:00",CABANG-039,11510,10980,200
PROD-0000002,"2008-05-21 00:00:00",CABANG-039,4240,3990,70
PROD-0000003,"2008-05-21 00:00:00",CABANG-039,6260,5940,80
PROD-0000004,"2008-05-21 00:00:00",CABANG-039,8170,7750,50
PROD-0000005,"2008-05-21 00:00:00",CABANG-039,7120,6760,90
PROD-0000006,"2008-05-21 00:00:00",CABANG-039,8380,8020,170
PROD-0000007,"2008-05-21 00:00:00",CABANG-039,4660,4420,40
PROD-0000008,"2008-05-21 00:00:00",CABANG-039,1070,1030,10
PROD-0000009,"2008-05-21 00:00:00",CABANG-039,4900,4650,10
PROD-0000010,"2008-05-21 00:00:00",CABANG-039,1120,1070,10
PROD-0000011,"2008-05-21 00:00:00",CABANG-039,1240,1180,10
PROD-0000012,"2008-05-21 00:00:00",CABANG-039,3630,3450,40
PROD-0000013,"2008-05-21 00:00:00",CABANG-039,12700,11980,160
PROD-0000014,"2008-05-21 00:00:00",CABANG-039,11760,11170,0
PROD-0000015,"2008-05-21 00:00:00",CABANG-039,19490,18630,260
PROD-0000016,"2008-05-21 00:00:00",CABANG-039,98980,93810,1530
PROD-0000017,"2008-05-21 00:00:00",CABANG-039,1240,1170,20
PROD-0000018,"2008-05-21 00:00:00",CABANG-039,9020,8540,180
PROD-0000019,"2008-05-21 00:00:00",CABANG-039,6020,5670,90
PROD-0000020,"2008-05-21 00:00:00",CABANG-039,5410,5170,40
PROD-0000021,"2008-05-21 00:00:00",CABANG-039,12190,11680,230
PROD-0000022,"2008-05-21 00:00:00",CABANG-039,72990,69160,1680
PROD-0000023,"2008-05-21 00:00:00",CABANG-039,14720,13970,10
PROD-0000024,"2008-05-21 00:00:00",CABANG-039,15360,14470,130
PROD-0000025,"2008-05-21 00:00:00",CABANG-039,10240,9730,210
PROD-0000026,"2008-05-21 00:00:00",CABANG-039,910,870,20
PROD-0000027,"2008-05-21 00:00:00",CABANG-039,12440,11820,160
PROD-0000028,"2008-05-21 00:00:00",CABANG-039,55910,52570,1030
PROD-0000029,"2008-05-21 00:00:00",CABANG-039,6240,5920,140
PROD-0000030,"2008-05-21 00:00:00",CABANG-039,4030,3800,0
PROD-0000031,"2008-05-21 00:00:00",CABANG-039,18410,17460,60
PROD-0000032,"2008-05-21 00:00:00",CABANG-039,5090,4830,120
PROD-0000033,"2008-05-21 00:00:00",CABANG-039,15550,14720,320
PROD-0000034,"2008-05-21 00:00:00",CABANG-039,20320,19110,360
PROD-0000035,"2008-05-21 00:00:00",CABANG-039,6120,5860,50
PROD-0000036,"2008-05-21 00:00:00",CABANG-039,31130,29760,700
PROD-0000037,"2008-05-21 00:00:00",CABANG-039,5070,4820,120
PROD-0000038,"2008-05-21 00:00:00",CABANG-039,6130,5830,70
PROD-0000039,"2008-05-21 00:00:00",CABANG-039,5600,5330,40
PROD-0000040,"2008-05-21 00:00:00",CABANG-039,15100,14200,30
PROD-0000041,"2008-05-21 00:00:00",CABANG-039,13320,12740,320
PROD-0000001,"2008-05-22 00:00:00",CABANG-039,11450,10880,260
PROD-0000002,"2008-05-22 00:00:00",CABANG-039,4210,4000,100
PROD-0000003,"2008-05-22 00:00:00",CABANG-039,6380,6060,140
PROD-0000004,"2008-05-22 00:00:00",CABANG-039,8110,7660,200
PROD-0000005,"2008-05-22 00:00:00",CABANG-039,7180,6820,80
PROD-0000006,"2008-05-22 00:00:00",CABANG-039,8140,7710,10
PROD-0000007,"2008-05-22 00:00:00",CABANG-039,4690,4450,40
PROD-0000008,"2008-05-22 00:00:00",CABANG-039,1100,1040,0
PROD-0000009,"2008-05-22 00:00:00",CABANG-039,4800,4550,0
PROD-0000010,"2008-05-22 00:00:00",CABANG-039,1130,1070,20
PROD-0000011,"2008-05-22 00:00:00",CABANG-039,1230,1170,20
PROD-0000012,"2008-05-22 00:00:00",CABANG-039,3610,3440,80
PROD-0000013,"2008-05-22 00:00:00",CABANG-039,12520,11970,190
PROD-0000014,"2008-05-22 00:00:00",CABANG-039,11940,11340,30
PROD-0000015,"2008-05-22 00:00:00",CABANG-039,19460,18610,480
PROD-0000016,"2008-05-22 00:00:00",CABANG-039,100180,94960,700
PROD-0000017,"2008-05-22 00:00:00",CABANG-039,1250,1190,0
PROD-0000018,"2008-05-22 00:00:00",CABANG-039,8930,8520,110
PROD-0000019,"2008-05-22 00:00:00",CABANG-039,6070,5800,60
PROD-0000020,"2008-05-22 00:00:00",CABANG-039,5450,5180,20
PROD-0000021,"2008-05-22 00:00:00",CABANG-039,12010,11410,0
PROD-0000022,"2008-05-22 00:00:00",CABANG-039,73570,69890,1660
PROD-0000023,"2008-05-22 00:00:00",CABANG-039,14460,13640,190
PROD-0000024,"2008-05-22 00:00:00",CABANG-039,15270,14510,220
PROD-0000025,"2008-05-22 00:00:00",CABANG-039,10320,9860,80
PROD-0000026,"2008-05-22 00:00:00",CABANG-039,920,860,10
PROD-0000027,"2008-05-22 00:00:00",CABANG-039,12340,11810,60
PROD-0000028,"2008-05-22 00:00:00",CABANG-039,56020,53120,1290
PROD-0000029,"2008-05-22 00:00:00",CABANG-039,6310,5960,150
PROD-0000030,"2008-05-22 00:00:00",CABANG-039,4040,3850,80
PROD-0000031,"2008-05-22 00:00:00",CABANG-039,18370,17300,90
PROD-0000032,"2008-05-22 00:00:00",CABANG-039,5070,4820,10
PROD-0000033,"2008-05-22 00:00:00",CABANG-039,15670,14890,100
PROD-0000034,"2008-05-22 00:00:00",CABANG-039,20480,19460,200
PROD-0000035,"2008-05-22 00:00:00",CABANG-039,6070,5780,70
PROD-0000036,"2008-05-22 00:00:00",CABANG-039,31130,29320,560
PROD-0000037,"2008-05-22 00:00:00",CABANG-039,5130,4870,0
PROD-0000038,"2008-05-22 00:00:00",CABANG-039,6110,5810,10
PROD-0000039,"2008-05-22 00:00:00",CABANG-039,5490,5210,10
PROD-0000040,"2008-05-22 00:00:00",CABANG-039,15130,14450,10
PROD-0000041,"2008-05-22 00:00:00",CABANG-039,13480,12810,10
PROD-0000001,"2008-05-23 00:00:00",CABANG-039,11490,11000,220
PROD-0000002,"2008-05-23 00:00:00",CABANG-039,4290,4060,40
PROD-0000003,"2008-05-23 00:00:00",CABANG-039,6280,5990,30
PROD-0000004,"2008-05-23 00:00:00",CABANG-039,8140,7770,60
PROD-0000005,"2008-05-23 00:00:00",CABANG-039,7190,6890,180
PROD-0000006,"2008-05-23 00:00:00",CABANG-039,8330,7910,200
PROD-0000007,"2008-05-23 00:00:00",CABANG-039,4630,4430,30
PROD-0000008,"2008-05-23 00:00:00",CABANG-039,1090,1030,30
PROD-0000009,"2008-05-23 00:00:00",CABANG-039,4850,4610,90
PROD-0000010,"2008-05-23 00:00:00",CABANG-039,1110,1060,0
PROD-0000011,"2008-05-23 00:00:00",CABANG-039,1210,1170,30
PROD-0000012,"2008-05-23 00:00:00",CABANG-039,3570,3420,40
PROD-0000013,"2008-05-23 00:00:00",CABANG-039,12780,12140,200
PROD-0000014,"2008-05-23 00:00:00",CABANG-039,11770,11180,270
PROD-0000015,"2008-05-23 00:00:00",CABANG-039,19410,18520,350
PROD-0000016,"2008-05-23 00:00:00",CABANG-039,100580,95160,200
PROD-0000017,"2008-05-23 00:00:00",CABANG-039,1220,1150,20
PROD-0000018,"2008-05-23 00:00:00",CABANG-039,8920,8420,60
PROD-0000019,"2008-05-23 00:00:00",CABANG-039,6110,5850,40
PROD-0000020,"2008-05-23 00:00:00",CABANG-039,5380,5140,80
PROD-0000021,"2008-05-23 00:00:00",CABANG-039,12180,11530,150
PROD-0000022,"2008-05-23 00:00:00",CABANG-039,72700,69060,0
PROD-0000023,"2008-05-23 00:00:00",CABANG-039,14550,13820,0
PROD-0000024,"2008-05-23 00:00:00",CABANG-039,15090,14190,270
PROD-0000025,"2008-05-23 00:00:00",CABANG-039,10240,9730,20
PROD-0000026,"2008-05-23 00:00:00",CABANG-039,910,870,10
PROD-0000027,"2008-05-23 00:00:00",CABANG-039,12290,11560,120
PROD-0000028,"2008-05-23 00:00:00",CABANG-039,56580,54290,760
PROD-0000029,"2008-05-23 00:00:00",CABANG-039,6200,5890,80
PROD-0000030,"2008-05-23 00:00:00",CABANG-039,4030,3830,40
PROD-0000031,"2008-05-23 00:00:00",CABANG-039,18520,17570,260
PROD-0000032,"2008-05-23 00:00:00",CABANG-039,5150,4900,10
PROD-0000033,"2008-05-23 00:00:00",CABANG-039,15760,14980,280
PROD-0000034,"2008-05-23 00:00:00",CABANG-039,20320,19170,190
PROD-0000035,"2008-05-23 00:00:00",CABANG-039,6120,5830,90
PROD-0000036,"2008-05-23 00:00:00",CABANG-039,30450,28860,490
PROD-0000037,"2008-05-23 00:00:00",CABANG-039,5160,4900,20
PROD-0000038,"2008-05-23 00:00:00",CABANG-039,6080,5720,90
PROD-0000039,"2008-05-23 00:00:00",CABANG-039,5580,5340,90
PROD-0000040,"2008-05-23 00:00:00",CABANG-039,15130,14370,220
PROD-0000041,"2008-05-23 00:00:00",CABANG-039,13620,12940,330
PROD-0000001,"2008-05-24 00:00:00",CABANG-039,11520,10940,150
PROD-0000002,"2008-05-24 00:00:00",CABANG-039,4250,4030,100
PROD-0000003,"2008-05-24 00:00:00",CABANG-039,6370,6110,10
PROD-0000004,"2008-05-24 00:00:00",CABANG-039,8240,7830,190
PROD-0000005,"2008-05-24 00:00:00",CABANG-039,7180,6830,150
PROD-0000006,"2008-05-24 00:00:00",CABANG-039,8250,7840,130
PROD-0000007,"2008-05-24 00:00:00",CABANG-039,4700,4490,80
PROD-0000008,"2008-05-24 00:00:00",CABANG-039,1090,1030,10
PROD-0000009,"2008-05-24 00:00:00",CABANG-039,4770,4570,70
PROD-0000010,"2008-05-24 00:00:00",CABANG-039,1110,1060,30
PROD-0000011,"2008-05-24 00:00:00",CABANG-039,1200,1140,30
PROD-0000012,"2008-05-24 00:00:00",CABANG-039,3560,3390,60
PROD-0000013,"2008-05-24 00:00:00",CABANG-039,12650,12000,100
PROD-0000014,"2008-05-24 00:00:00",CABANG-039,11610,11150,170
PROD-0000015,"2008-05-24 00:00:00",CABANG-039,19650,18660,60
PROD-0000016,"2008-05-24 00:00:00",CABANG-039,98990,94040,490
PROD-0000017,"2008-05-24 00:00:00",CABANG-039,1260,1210,10
PROD-0000018,"2008-05-24 00:00:00",CABANG-039,8840,8400,210
PROD-0000019,"2008-05-24 00:00:00",CABANG-039,6110,5800,90
PROD-0000020,"2008-05-24 00:00:00",CABANG-039,5330,5060,40
PROD-0000021,"2008-05-24 00:00:00",CABANG-039,12160,11650,160
PROD-0000022,"2008-05-24 00:00:00",CABANG-039,72990,69370,880
PROD-0000023,"2008-05-24 00:00:00",CABANG-039,14460,13730,30
PROD-0000024,"2008-05-24 00:00:00",CABANG-039,15270,14400,280
PROD-0000025,"2008-05-24 00:00:00",CABANG-039,10200,9770,240
PROD-0000026,"2008-05-24 00:00:00",CABANG-039,900,860,20
PROD-0000027,"2008-05-24 00:00:00",CABANG-039,12270,11720,180
PROD-0000028,"2008-05-24 00:00:00",CABANG-039,55020,52250,440
PROD-0000029,"2008-05-24 00:00:00",CABANG-039,6180,5920,140
PROD-0000030,"2008-05-24 00:00:00",CABANG-039,4050,3840,70
PROD-0000031,"2008-05-24 00:00:00",CABANG-039,18480,17570,50
PROD-0000032,"2008-05-24 00:00:00",CABANG-039,5100,4840,10
PROD-0000033,"2008-05-24 00:00:00",CABANG-039,15580,14800,160
PROD-0000034,"2008-05-24 00:00:00",CABANG-039,19960,18960,0
PROD-0000035,"2008-05-24 00:00:00",CABANG-039,6110,5860,110
PROD-0000036,"2008-05-24 00:00:00",CABANG-039,31130,29420,60
PROD-0000037,"2008-05-24 00:00:00",CABANG-039,5090,4820,90
PROD-0000038,"2008-05-24 00:00:00",CABANG-039,6090,5760,70
PROD-0000039,"2008-05-24 00:00:00",CABANG-039,5570,5340,120
PROD-0000040,"2008-05-24 00:00:00",CABANG-039,15190,14390,170
PROD-0000041,"2008-05-24 00:00:00",CABANG-039,13400,12750,190
PROD-0000001,"2008-05-25 00:00:00",CABANG-039,11350,10860,100
PROD-0000002,"2008-05-25 00:00:00",CABANG-039,4250,4050,100
PROD-0000003,"2008-05-25 00:00:00",CABANG-039,6360,6040,110
PROD-0000004,"2008-05-25 00:00:00",CABANG-039,8240,7880,140
PROD-0000005,"2008-05-25 00:00:00",CABANG-039,7300,6870,20
PROD-0000006,"2008-05-25 00:00:00",CABANG-039,8150,7790,110
PROD-0000007,"2008-05-25 00:00:00",CABANG-039,4680,4460,100
PROD-0000008,"2008-05-25 00:00:00",CABANG-039,1100,1040,10
PROD-0000009,"2008-05-25 00:00:00",CABANG-039,4870,4630,100
PROD-0000010,"2008-05-25 00:00:00",CABANG-039,1110,1060,20
PROD-0000011,"2008-05-25 00:00:00",CABANG-039,1200,1140,20
PROD-0000012,"2008-05-25 00:00:00",CABANG-039,3550,3370,70
PROD-0000013,"2008-05-25 00:00:00",CABANG-039,12800,12160,300
PROD-0000014,"2008-05-25 00:00:00",CABANG-039,11750,11140,240
PROD-0000015,"2008-05-25 00:00:00",CABANG-039,19570,18620,270
PROD-0000016,"2008-05-25 00:00:00",CABANG-039,99580,94350,800
PROD-0000017,"2008-05-25 00:00:00",CABANG-039,1240,1180,30
PROD-0000018,"2008-05-25 00:00:00",CABANG-039,8930,8560,110
PROD-0000019,"2008-05-25 00:00:00",CABANG-039,6110,5850,150
PROD-0000020,"2008-05-25 00:00:00",CABANG-039,5380,5110,130
PROD-0000021,"2008-05-25 00:00:00",CABANG-039,12020,11510,180
PROD-0000022,"2008-05-25 00:00:00",CABANG-039,73720,70040,880
PROD-0000023,"2008-05-25 00:00:00",CABANG-039,14640,13810,50
PROD-0000024,"2008-05-25 00:00:00",CABANG-039,15120,14420,330
PROD-0000025,"2008-05-25 00:00:00",CABANG-039,10140,9550,170
PROD-0000026,"2008-05-25 00:00:00",CABANG-039,910,870,20
PROD-0000027,"2008-05-25 00:00:00",CABANG-039,12240,11520,280
PROD-0000028,"2008-05-25 00:00:00",CABANG-039,56130,53750,1230
PROD-0000029,"2008-05-25 00:00:00",CABANG-039,6310,6030,70
PROD-0000030,"2008-05-25 00:00:00",CABANG-039,4080,3890,80
PROD-0000031,"2008-05-25 00:00:00",CABANG-039,18410,17590,310
PROD-0000032,"2008-05-25 00:00:00",CABANG-039,5180,4870,110
PROD-0000033,"2008-05-25 00:00:00",CABANG-039,15860,15070,20
PROD-0000034,"2008-05-25 00:00:00",CABANG-039,20520,19400,320
PROD-0000035,"2008-05-25 00:00:00",CABANG-039,6100,5750,90
PROD-0000036,"2008-05-25 00:00:00",CABANG-039,30640,29110,570
PROD-0000037,"2008-05-25 00:00:00",CABANG-039,5070,4820,120
PROD-0000038,"2008-05-25 00:00:00",CABANG-039,6170,5860,130
PROD-0000039,"2008-05-25 00:00:00",CABANG-039,5470,5150,110
PROD-0000040,"2008-05-25 00:00:00",CABANG-039,15220,14370,120
PROD-0000041,"2008-05-25 00:00:00",CABANG-039,13620,12920,210
PROD-0000001,"2008-05-26 00:00:00",CABANG-039,11380,10810,270
PROD-0000002,"2008-05-26 00:00:00",CABANG-039,4320,4090,50
PROD-0000003,"2008-05-26 00:00:00",CABANG-039,6310,5990,0
PROD-0000004,"2008-05-26 00:00:00",CABANG-039,8140,7650,150
PROD-0000005,"2008-05-26 00:00:00",CABANG-039,7050,6700,90
PROD-0000006,"2008-05-26 00:00:00",CABANG-039,8300,7800,20
PROD-0000007,"2008-05-26 00:00:00",CABANG-039,4620,4430,40
PROD-0000008,"2008-05-26 00:00:00",CABANG-039,1090,1030,0
PROD-0000009,"2008-05-26 00:00:00",CABANG-039,4880,4590,20
PROD-0000010,"2008-05-26 00:00:00",CABANG-039,1100,1040,0
PROD-0000011,"2008-05-26 00:00:00",CABANG-039,1210,1140,10
PROD-0000012,"2008-05-26 00:00:00",CABANG-039,3610,3390,40
PROD-0000013,"2008-05-26 00:00:00",CABANG-039,12700,12020,200
PROD-0000014,"2008-05-26 00:00:00",CABANG-039,11730,11170,190
PROD-0000015,"2008-05-26 00:00:00",CABANG-039,19450,18480,440
PROD-0000016,"2008-05-26 00:00:00",CABANG-039,99780,94790,1300
PROD-0000017,"2008-05-26 00:00:00",CABANG-039,1250,1200,0
PROD-0000018,"2008-05-26 00:00:00",CABANG-039,8900,8540,50
PROD-0000019,"2008-05-26 00:00:00",CABANG-039,6160,5890,90
PROD-0000020,"2008-05-26 00:00:00",CABANG-039,5340,5120,40
PROD-0000021,"2008-05-26 00:00:00",CABANG-039,12230,11670,120
PROD-0000022,"2008-05-26 00:00:00",CABANG-039,73130,68760,330
PROD-0000023,"2008-05-26 00:00:00",CABANG-039,14640,13770,20
PROD-0000024,"2008-05-26 00:00:00",CABANG-039,15090,14420,300
PROD-0000025,"2008-05-26 00:00:00",CABANG-039,10260,9690,160
PROD-0000026,"2008-05-26 00:00:00",CABANG-039,910,870,10
PROD-0000027,"2008-05-26 00:00:00",CABANG-039,12240,11630,70
PROD-0000028,"2008-05-26 00:00:00",CABANG-039,56020,52820,900
PROD-0000029,"2008-05-26 00:00:00",CABANG-039,6210,5850,90
PROD-0000030,"2008-05-26 00:00:00",CABANG-039,4110,3880,90
PROD-0000031,"2008-05-26 00:00:00",CABANG-039,18410,17630,190
PROD-0000032,"2008-05-26 00:00:00",CABANG-039,5140,4870,110
PROD-0000033,"2008-05-26 00:00:00",CABANG-039,15490,14620,20
PROD-0000034,"2008-05-26 00:00:00",CABANG-039,19920,18920,130
PROD-0000035,"2008-05-26 00:00:00",CABANG-039,6070,5750,20
PROD-0000036,"2008-05-26 00:00:00",CABANG-039,31320,29750,690
PROD-0000037,"2008-05-26 00:00:00",CABANG-039,5060,4810,50
PROD-0000038,"2008-05-26 00:00:00",CABANG-039,6120,5830,100
PROD-0000039,"2008-05-26 00:00:00",CABANG-039,5480,5210,120
PROD-0000040,"2008-05-26 00:00:00",CABANG-039,15220,14560,50
PROD-0000041,"2008-05-26 00:00:00",CABANG-039,13710,13010,320
PROD-0000001,"2008-05-27 00:00:00",CABANG-039,11540,10960,140
PROD-0000002,"2008-05-27 00:00:00",CABANG-039,4250,4050,40
PROD-0000003,"2008-05-27 00:00:00",CABANG-039,6360,6040,120
PROD-0000004,"2008-05-27 00:00:00",CABANG-039,8090,7680,40
PROD-0000005,"2008-05-27 00:00:00",CABANG-039,7200,6770,10
PROD-0000006,"2008-05-27 00:00:00",CABANG-039,8290,7950,170
PROD-0000007,"2008-05-27 00:00:00",CABANG-039,4620,4420,110
PROD-0000008,"2008-05-27 00:00:00",CABANG-039,1080,1030,0
PROD-0000009,"2008-05-27 00:00:00",CABANG-039,4820,4580,50
PROD-0000010,"2008-05-27 00:00:00",CABANG-039,1120,1070,10
PROD-0000011,"2008-05-27 00:00:00",CABANG-039,1210,1150,10
PROD-0000012,"2008-05-27 00:00:00",CABANG-039,3580,3410,0
PROD-0000013,"2008-05-27 00:00:00",CABANG-039,12520,11980,80
PROD-0000014,"2008-05-27 00:00:00",CABANG-039,11730,11150,120
PROD-0000015,"2008-05-27 00:00:00",CABANG-039,19490,18550,120
PROD-0000016,"2008-05-27 00:00:00",CABANG-039,101380,96310,610
PROD-0000017,"2008-05-27 00:00:00",CABANG-039,1230,1170,30
PROD-0000018,"2008-05-27 00:00:00",CABANG-039,8930,8430,60
PROD-0000019,"2008-05-27 00:00:00",CABANG-039,6170,5870,50
PROD-0000020,"2008-05-27 00:00:00",CABANG-039,5380,5060,50
PROD-0000021,"2008-05-27 00:00:00",CABANG-039,12230,11580,290
PROD-0000022,"2008-05-27 00:00:00",CABANG-039,72840,69200,1270
PROD-0000023,"2008-05-27 00:00:00",CABANG-039,14480,13680,50
PROD-0000024,"2008-05-27 00:00:00",CABANG-039,15000,14380,70
PROD-0000025,"2008-05-27 00:00:00",CABANG-039,10300,9790,60
PROD-0000026,"2008-05-27 00:00:00",CABANG-039,920,870,10
PROD-0000027,"2008-05-27 00:00:00",CABANG-039,12410,11860,10
PROD-0000028,"2008-05-27 00:00:00",CABANG-039,55690,52900,0
PROD-0000029,"2008-05-27 00:00:00",CABANG-039,6300,6030,30
PROD-0000030,"2008-05-27 00:00:00",CABANG-039,4120,3920,80
PROD-0000031,"2008-05-27 00:00:00",CABANG-039,18300,17460,110
PROD-0000032,"2008-05-27 00:00:00",CABANG-039,5050,4800,10
PROD-0000033,"2008-05-27 00:00:00",CABANG-039,15580,14710,140
PROD-0000034,"2008-05-27 00:00:00",CABANG-039,20280,19450,50
PROD-0000035,"2008-05-27 00:00:00",CABANG-039,6150,5790,140
PROD-0000036,"2008-05-27 00:00:00",CABANG-039,30400,29110,550
PROD-0000037,"2008-05-27 00:00:00",CABANG-039,5110,4850,80
PROD-0000038,"2008-05-27 00:00:00",CABANG-039,6190,5940,140
PROD-0000039,"2008-05-27 00:00:00",CABANG-039,5620,5380,0
PROD-0000040,"2008-05-27 00:00:00",CABANG-039,14920,14240,70
PROD-0000041,"2008-05-27 00:00:00",CABANG-039,13410,12720,190
PROD-0000001,"2008-05-28 00:00:00",CABANG-039,11380,10790,60
PROD-0000002,"2008-05-28 00:00:00",CABANG-039,4210,3970,60
PROD-0000003,"2008-05-28 00:00:00",CABANG-039,6320,5960,150
PROD-0000004,"2008-05-28 00:00:00",CABANG-039,8100,7760,200
PROD-0000005,"2008-05-28 00:00:00",CABANG-039,7100,6740,50
PROD-0000006,"2008-05-28 00:00:00",CABANG-039,8280,7890,120
PROD-0000007,"2008-05-28 00:00:00",CABANG-039,4650,4380,70
PROD-0000008,"2008-05-28 00:00:00",CABANG-039,1090,1030,20
PROD-0000009,"2008-05-28 00:00:00",CABANG-039,4830,4610,50
PROD-0000010,"2008-05-28 00:00:00",CABANG-039,1120,1060,10
PROD-0000011,"2008-05-28 00:00:00",CABANG-039,1220,1160,20
PROD-0000012,"2008-05-28 00:00:00",CABANG-039,3540,3370,20
PROD-0000013,"2008-05-28 00:00:00",CABANG-039,12670,12040,130
PROD-0000014,"2008-05-28 00:00:00",CABANG-039,11920,11310,230
PROD-0000015,"2008-05-28 00:00:00",CABANG-039,19340,18370,390
PROD-0000016,"2008-05-28 00:00:00",CABANG-039,100780,94780,1410
PROD-0000017,"2008-05-28 00:00:00",CABANG-039,1230,1170,30
PROD-0000018,"2008-05-28 00:00:00",CABANG-039,9060,8530,70
PROD-0000019,"2008-05-28 00:00:00",CABANG-039,6150,5900,100
PROD-0000020,"2008-05-28 00:00:00",CABANG-039,5380,5150,110
PROD-0000021,"2008-05-28 00:00:00",CABANG-039,12130,11550,250
PROD-0000022,"2008-05-28 00:00:00",CABANG-039,73280,69830,220
PROD-0000023,"2008-05-28 00:00:00",CABANG-039,14490,13790,250
PROD-0000024,"2008-05-28 00:00:00",CABANG-039,14910,14240,370
PROD-0000025,"2008-05-28 00:00:00",CABANG-039,10200,9690,170
PROD-0000026,"2008-05-28 00:00:00",CABANG-039,900,850,20
PROD-0000027,"2008-05-28 00:00:00",CABANG-039,12250,11630,150
PROD-0000028,"2008-05-28 00:00:00",CABANG-039,56580,53780,1070
PROD-0000029,"2008-05-28 00:00:00",CABANG-039,6250,5940,120
PROD-0000030,"2008-05-28 00:00:00",CABANG-039,4090,3880,40
PROD-0000031,"2008-05-28 00:00:00",CABANG-039,18290,17530,70
PROD-0000032,"2008-05-28 00:00:00",CABANG-039,5090,4890,90
PROD-0000033,"2008-05-28 00:00:00",CABANG-039,16050,15250,390
